Time_min,Time_hr,DHFU_uM,FBAL_uM,Excreted_5FU_umol,Excreted_FBAL_umol,Excreted_Metabolites_umol
844,14.0666666666667,0,0,0,0,0
846,14.1,0,0,0,0,0
848,14.1333333333333,0,0,0,0,0
850,14.1666666666667,0,0,0,0,0
852,14.2,0,0,0,0,0
854,14.2333333333333,0,0,0,0,0
856,14.2666666666667,0,0,0,0,0
858,14.3,0,0,0,0,0
860,14.3333333333333,0,0,0,0,0
862,14.3666666666667,0,0,0,0,0
864,14.4,0,0,0,0,0
866,14.4333333333333,0,0,0,0,0
868,14.4666666666667,0,0,0,0,0
870,14.5,0,0,0,0,0
872,14.5333333333333,0,0,0,0,0
874,14.5666666666667,0,0,0,0,0
876,14.6,0,0,0,0,0
878,14.6333333333333,0,0,0,0,0
880,14.6666666666667,0,0,0,0,0
882,14.7,0,0,0,0,0
884,14.7333333333333,0,0,0,0,0
886,14.7666666666667,0,0,0,0,0
888,14.8,0,0,0,0,0
890,14.8333333333333,0,0,0,0,0
892,14.8666666666667,0,0,0,0,0
894,14.9,0,0,0,0,0
896,14.9333333333333,0,0,0,0,0
898,14.9666666666667,0,0,0,0,0
900,15,0,0,0,0,0
902,15.0333333333333,0,0,0,0,0
904,15.0666666666667,0,0,0,0,0
906,15.1,0,0,0,0,0
908,15.1333333333333,0,0,0,0,0
910,15.1666666666667,0,0,0,0,0
912,15.2,0,0,0,0,0
914,15.2333333333333,0,0,0,0,0
916,15.2666666666667,0,0,0,0,0
918,15.3,0,0,0,0,0
920,15.3333333333333,0,0,0,0,0
922,15.3666666666667,0,0,0,0,0
924,15.4,0,0,0,0,0
926,15.4333333333333,0,0,0,0,0
928,15.4666666666667,0,0,0,0,0
930,15.5,0,0,0,0,0
932,15.5333333333333,0,0,0,0,0
934,15.5666666666667,0,0,0,0,0
936,15.6,0,0,0,0,0
938,15.6333333333333,0,0,0,0,0
940,15.6666666666667,0,0,0,0,0
940.2,15.67,0,0,0,0,0
940.4,15.6733333333333,0,0,0,0,0
940.6,15.6766666666667,0,0,0,0,0
940.8,15.68,0,0,0,0,0
941,15.6833333333333,0,0,0,0,0
941.2,15.6866666666667,0,0,0,0,0
941.4,15.69,0,0,0,0,0
941.6,15.6933333333333,0,0,0,0,0
941.8,15.6966666666667,0,0,0,0,0
942,15.7,0,0,0,0,0
942.2,15.7033333333333,0,0,0,0,0
942.4,15.7066666666667,0,0,0,0,0
942.6,15.71,0,0,0,0,0
942.8,15.7133333333333,0,0,0,0,0
943,15.7166666666667,0,0,0,0,0
943.2,15.72,0,0,0,0,0
943.4,15.7233333333333,0,0,0,0,0
943.6,15.7266666666667,0,0,0,0,0
943.8,15.73,0,0,0,0,0
944,15.7333333333333,0,0,0,0,0
944.2,15.7366666666667,0,0,0,0,0
944.4,15.74,0,0,0,0,0
944.6,15.7433333333333,0,0,0,0,0
944.8,15.7466666666667,0,0,0,0,0
945,15.75,0,0,0,0,0
945.2,15.7533333333333,0,0,0,0,0
945.4,15.7566666666667,0,0,0,0,0
945.6,15.76,0,0,0,0,0
945.8,15.7633333333333,0,0,0,0,0
946,15.7666666666667,0,0,0,0,0
946.2,15.77,0,0,0,0,0
946.4,15.7733333333333,0,0,0,0,0
946.6,15.7766666666667,0,0,0,0,0
946.8,15.78,0,0,0,0,0
947,15.7833333333333,0,0,0,0,0
947.2,15.7866666666667,0,0,0,0,0
947.4,15.79,0,0,0,0,0
947.6,15.7933333333333,0,0,0,0,0
947.8,15.7966666666667,0,0,0,0,0
948,15.8,0,0,0,0,0
948.2,15.8033333333333,0,0,0,0,0
948.4,15.8066666666667,0,0,0,0,0
948.6,15.81,0,0,0,0,0
948.8,15.8133333333333,0,0,0,0,0
949,15.8166666666667,0,0,0,0,0
949.2,15.82,0,0,0,0,0
949.4,15.8233333333333,0,0,0,0,0
949.6,15.8266666666667,0,0,0,0,0
949.8,15.83,0,0,0,0,0
950,15.8333333333333,0,0,0,0,0
950.2,15.8366666666667,0,0,0,0,0
950.4,15.84,0,0,0,0,0
950.6,15.8433333333333,0,0,0,0,0
950.8,15.8466666666667,0,0,0,0,0
951,15.85,0,0,0,0,0
951.2,15.8533333333333,0,0,0,0,0
951.4,15.8566666666667,0,0,0,0,0
951.6,15.86,0,0,0,0,0
951.8,15.8633333333333,0,0,0,0,0
952,15.8666666666667,0,0,0,0,0
952.2,15.87,0,0,0,0,0
952.4,15.8733333333333,0,0,0,0,0
952.6,15.8766666666667,0,0,0,0,0
952.8,15.88,0,0,0,0,0
953,15.8833333333333,0,0,0,0,0
953.2,15.8866666666667,0,0,0,0,0
953.4,15.89,0,0,0,0,0
953.6,15.8933333333333,0,0,0,0,0
953.8,15.8966666666667,0,0,0,0,0
954,15.9,0,0,0,0,0
954.2,15.9033333333333,0,0,0,0,0
954.4,15.9066666666667,0,0,0,0,0
954.6,15.91,0,0,0,0,0
954.8,15.9133333333333,0,0,0,0,0
955,15.9166666666667,0,0,0,0,0
955.2,15.92,0,0,0,0,0
955.4,15.9233333333333,0,0,0,0,0
955.6,15.9266666666667,0,0,0,0,0
955.8,15.93,0,0,0,0,0
956,15.9333333333333,0,0,0,0,0
956.2,15.9366666666667,0,0,0,0,0
956.4,15.94,0,0,0,0,0
956.6,15.9433333333333,0,0,0,0,0
956.8,15.9466666666667,0,0,0,0,0
957,15.95,0,0,0,0,0
957.2,15.9533333333333,0,0,0,0,0
957.4,15.9566666666667,0,0,0,0,0
957.6,15.96,0,0,0,0,0
957.8,15.9633333333333,0,0,0,0,0
958,15.9666666666667,0,0,0,0,0
958.2,15.97,0,0,0,0,0
958.4,15.9733333333333,0,0,0,0,0
958.6,15.9766666666667,0,0,0,0,0
958.8,15.98,0,0,0,0,0
959,15.9833333333333,0,0,0,0,0
959.2,15.9866666666667,0,0,0,0,0
959.4,15.99,0,0,0,0,0
959.6,15.9933333333333,0,0,0,0,0
959.8,15.9966666666667,0,0,0,0,0
960,16,0,0,0,0,0
960.2,16.0033333333333,0,0,0,0,0
960.4,16.0066666666667,0,0,0,0,0
960.6,16.01,0,0,0,0,0
960.8,16.0133333333333,0,0,0,0,0
961,16.0166666666667,0,0,0,0,0
961.2,16.02,0,0,0,0,0
961.4,16.0233333333333,0,0,0,0,0
961.6,16.0266666666667,0,0,0,0,0
961.8,16.03,0,0,0,0,0
962,16.0333333333333,0,0,0,0,0
962.2,16.0366666666667,0,0,0,0,0
962.4,16.04,0,0,0,0,0
962.6,16.0433333333333,0,0,0,0,0
962.8,16.0466666666667,0,0,0,0,0
963,16.05,0,0,0,0,0
963.2,16.0533333333333,0,0,0,0,0
963.4,16.0566666666667,0,0,0,0,0
963.6,16.06,0,0,0,0,0
963.8,16.0633333333333,0,0,0,0,0
964,16.0666666666667,0,0,0,0,0
964.2,16.07,0,0,0,0,0
964.4,16.0733333333333,0,0,0,0,0
964.6,16.0766666666667,0,0,0,0,0
964.8,16.08,0,0,0,0,0
965,16.0833333333333,0,0,0,0,0
965.2,16.0866666666667,0,0,0,0,0
965.4,16.09,0,0,0,0,0
965.6,16.0933333333333,0,0,0,0,0
965.8,16.0966666666667,0,0,0,0,0
966,16.1,0,0,0,0,0
966.2,16.1033333333333,0,0,0,0,0
966.4,16.1066666666667,0,0,0,0,0
966.6,16.11,0,0,0,0,0
966.8,16.1133333333333,0,0,0,0,0
967,16.1166666666667,0,0,0,0,0
967.2,16.12,0,0,0,0,0
967.4,16.1233333333333,0,0,0,0,0
967.6,16.1266666666667,0,0,0,0,0
967.8,16.13,0,0,0,0,0
968,16.1333333333333,0,0,0,0,0
968.2,16.1366666666667,0,0,0,0,0
968.4,16.14,0,0,0,0,0
968.6,16.1433333333333,0,0,0,0,0
968.8,16.1466666666667,0,0,0,0,0
969,16.15,0,0,0,0,0
969.2,16.1533333333333,0,0,0,0,0
969.4,16.1566666666667,0,0,0,0,0
969.6,16.16,0,0,0,0,0
969.8,16.1633333333333,0,0,0,0,0
970,16.1666666666667,0,0,0,0,0
970.2,16.17,0,0,0,0,0
970.4,16.1733333333333,0,0,0,0,0
970.6,16.1766666666667,0,0,0,0,0
970.8,16.18,0,0,0,0,0
971,16.1833333333333,0,0,0,0,0
971.2,16.1866666666667,0,0,0,0,0
971.4,16.19,0,0,0,0,0
971.6,16.1933333333333,0,0,0,0,0
971.8,16.1966666666667,0,0,0,0,0
972,16.2,0,0,0,0,0
972.2,16.2033333333333,0,0,0,0,0
972.4,16.2066666666667,0,0,0,0,0
972.6,16.21,0,0,0,0,0
972.8,16.2133333333333,0,0,0,0,0
973,16.2166666666667,0,0,0,0,0
973.2,16.22,0,0,0,0,0
973.4,16.2233333333333,0,0,0,0,0
973.6,16.2266666666667,0,0,0,0,0
973.8,16.23,0,0,0,0,0
974,16.2333333333333,0,0,0,0,0
974.2,16.2366666666667,0,0,0,0,0
974.4,16.24,0,0,0,0,0
974.6,16.2433333333333,0,0,0,0,0
974.8,16.2466666666667,0,0,0,0,0
975,16.25,0,0,0,0,0
975.2,16.2533333333333,0,0,0,0,0
975.4,16.2566666666667,0,0,0,0,0
975.6,16.26,0,0,0,0,0
975.8,16.2633333333333,0,0,0,0,0
976,16.2666666666667,0,0,0,0,0
976.2,16.27,0,0,0,0,0
976.4,16.2733333333333,0,0,0,0,0
976.6,16.2766666666667,0,0,0,0,0
976.8,16.28,0,0,0,0,0
977,16.2833333333333,0,0,0,0,0
977.2,16.2866666666667,0,0,0,0,0
977.4,16.29,0,0,0,0,0
977.6,16.2933333333333,0,0,0,0,0
977.8,16.2966666666667,0,0,0,0,0
978,16.3,0,0,0,0,0
978.2,16.3033333333333,0,0,0,0,0
978.4,16.3066666666667,0,0,0,0,0
978.6,16.31,0,0,0,0,0
978.8,16.3133333333333,0,0,0,0,0
979,16.3166666666667,0,0,0,0,0
979.2,16.32,0,0,0,0,0
979.4,16.3233333333333,0,0,0,0,0
979.6,16.3266666666667,0,0,0,0,0
979.8,16.33,0,0,0,0,0
980,16.3333333333333,0,0,0,0,0
980.2,16.3366666666667,0,0,0,0,0
980.4,16.34,0,0,0,0,0
980.6,16.3433333333333,0,0,0,0,0
980.8,16.3466666666667,0,0,0,0,0
981,16.35,0,0,0,0,0
981.2,16.3533333333333,0,0,0,0,0
981.4,16.3566666666667,0,0,0,0,0
981.6,16.36,0,0,0,0,0
981.8,16.3633333333333,0,0,0,0,0
982,16.3666666666667,0,0,0,0,0
982.2,16.37,0,0,0,0,0
982.4,16.3733333333333,0,0,0,0,0
982.6,16.3766666666667,0,0,0,0,0
982.8,16.38,0,0,0,0,0
983,16.3833333333333,0,0,0,0,0
983.2,16.3866666666667,0,0,0,0,0
983.4,16.39,0,0,0,0,0
983.6,16.3933333333333,0,0,0,0,0
983.8,16.3966666666667,0,0,0,0,0
984,16.4,0,0,0,0,0
984.2,16.4033333333333,0,0,0,0,0
984.4,16.4066666666667,0,0,0,0,0
984.6,16.41,0,0,0,0,0
984.8,16.4133333333333,0,0,0,0,0
985,16.4166666666667,0,0,0,0,0
985.2,16.42,0,0,0,0,0
985.4,16.4233333333333,0,0,0,0,0
985.6,16.4266666666667,0,0,0,0,0
985.8,16.43,0,0,0,0,0
986,16.4333333333333,0,0,0,0,0
986.2,16.4366666666667,0,0,0,0,0
986.4,16.44,0,0,0,0,0
986.6,16.4433333333333,0,0,0,0,0
986.8,16.4466666666667,0,0,0,0,0
987,16.45,0,0,0,0,0
987.2,16.4533333333333,0,0,0,0,0
987.4,16.4566666666667,0,0,0,0,0
987.6,16.46,0,0,0,0,0
987.8,16.4633333333333,0,0,0,0,0
988,16.4666666666667,0,0,0,0,0
988.2,16.47,0,0,0,0,0
988.4,16.4733333333333,0,0,0,0,0
988.6,16.4766666666667,0,0,0,0,0
988.8,16.48,0,0,0,0,0
989,16.4833333333333,0,0,0,0,0
