Time_min,Time_hr,Systemic_FdUMP_uM,Systemic_FdUTP_uM,Systemic_FUTP_uM,Tumor_FdUMP_uM,Tumor_FdUTP_uM,Tumor_FUTP_uM
3617.6,60.2933333333333,7.82648184442805,4.88935667526446,22.8457166515798,0.577057033024889,0.215653462467229,3.06056600797324
3617.8,60.2966666666667,7.82751559704303,4.88923138877858,22.8435293842007,0.577038538843563,0.215647186416796,3.06007455942066
3618,60.3,7.82854817730651,4.88910620622413,22.8413443383752,0.577020060297922,0.215640915547818,3.05958354245601
3618.2,60.3033333333333,7.82957958448153,4.88898112763177,22.8391615118976,0.577001597385023,0.215634649861548,3.05909295671375
3618.4,60.3066666666667,7.83060981783205,4.88885615303213,22.8369809025651,0.57698315010194,0.215628389359241,3.0586028018287
3618.6,60.31,7.83163887662295,4.88873128245577,22.8348025081781,0.576964718445764,0.215622134042146,3.05811307743605
3618.8,60.3133333333333,7.83266676012001,4.8886065159332,22.8326263265397,0.576946302413598,0.215615883911514,3.05762378317138
3619,60.3166666666667,7.83369346758995,4.88848185349487,22.8304523554558,0.576927902002561,0.215609638968591,3.05713491867063
3619.2,60.32,7.83471899830039,4.88835729517118,22.8282805927355,0.576909517209786,0.215603399214623,3.05664648357012
3619.4,60.3233333333333,7.83574335151987,4.88823284099246,22.8261110361907,0.576891148032423,0.215597164650854,3.05615847750656
3619.6,60.3266666666667,7.83676652651786,4.88810849098901,22.8239436836363,0.576872794467635,0.215590935278525,3.05567090011699
3619.8,60.33,7.83778852256474,4.88798424519105,22.8217785328898,0.5768544565126,0.215584711098876,3.05518375103886
3620,60.3333333333333,7.8388093389318,4.88786010362876,22.8196155817719,0.57683613416451,0.215578492113146,3.05469702990998
3620.2,60.3366666666667,7.83982897489128,4.88773606633226,22.8174548281062,0.576817827420575,0.21557227832257,3.05421073636853
3620.4,60.34,7.8408474297163,4.88761213333161,22.815296269719,0.576799536278015,0.215566069728383,3.05372487005306
3620.6,60.3433333333333,7.84186470268092,4.88748830465683,22.8131399044396,0.576781260734066,0.215559866331817,3.0532394306025
3620.8,60.3466666666667,7.84288079306012,4.88736458033788,22.8109857301003,0.576763000785981,0.215553668134104,3.05275441765612
3621,60.35,7.84389570012981,4.88724096040465,22.8088337445361,0.576744756431025,0.215547475136471,3.05226983085361
3621.2,60.3533333333333,7.84490942316678,4.887117444887,22.806683945585,0.576726527666476,0.215541287340146,3.05178566983498
3621.4,60.3566666666667,7.8459219614488,4.88699403381472,22.8045363310877,0.576708314489631,0.215535104746354,3.05130193424065
3621.6,60.36,7.8469333142545,4.88687072721755,22.8023908988881,0.576690116897796,0.215528927356319,3.05081862371137
3621.8,60.3633333333333,7.84794348086348,4.88674752512518,22.8002476468326,0.576671934888294,0.215522755171262,3.05033573788829
3622,60.3666666666667,7.84895246055624,4.88662442756724,22.7981065727706,0.576653768458463,0.215516588192403,3.04985327641292
3622.2,60.37,7.8499602526142,4.88650143457332,22.7959676745546,0.576635617605653,0.215510426420959,3.04937123892712
3622.4,60.3733333333333,7.8509668563197,4.88637854617293,22.7938309500396,0.576617482327229,0.215504269858147,3.04888962507315
3622.6,60.3766666666667,7.85197227095601,4.88625576239557,22.7916963970836,0.57659936262057,0.215498118505182,3.0484084344936
3622.8,60.38,7.85297649580732,4.88613308327064,22.7895640135476,0.576581258483069,0.215491972363276,3.04792766683145
3623,60.3833333333333,7.85397953015874,4.88601050882751,22.7874337972951,0.576563169912133,0.215485831433639,3.04744732173004
3623.2,60.3866666666667,7.85498137329632,4.88588803909551,22.7853057461928,0.576545096905183,0.21547969571748,3.04696739883308
3623.4,60.39,7.855982024507,4.88576567410389,22.78317985811,0.576527039459653,0.215473565216007,3.04648789778464
3623.6,60.3933333333333,7.85698148307866,4.88564341388186,22.7810561309189,0.576508997572991,0.215467439930425,3.04600881822915
3623.8,60.3966666666667,7.85797974830012,4.8855212584586,22.7789345624946,0.57649097124266,0.215461319861938,3.04553015981142
3624,60.4,7.85897681946111,4.88539920786319,22.776815150715,0.576472960466135,0.215455205011748,3.04505192217662
3624.2,60.4033333333333,7.85997269585227,4.88527726212471,22.7746978934607,0.576454965240906,0.215449095381054,3.04457410497026
3624.4,60.4066666666667,7.86096737676519,4.88515542127214,22.7725827886153,0.576436985564475,0.215442990971055,3.04409670783825
3624.6,60.41,7.86196086149237,4.88503368533445,22.7704698340651,0.57641902143436,0.215436891782947,3.04361973042683
3624.8,60.4133333333333,7.86295314932723,4.88491205434053,22.7683590276992,0.57640107284809,0.215430797817926,3.04314317238263
3625,60.4166666666667,7.86394423956414,4.88479052831924,22.7662503674096,0.576383139803209,0.215424709077184,3.04266703335263
3625.2,60.42,7.86493413149836,4.88466910729937,22.7641438510911,0.576365222297274,0.215418625561913,3.04219131298418
3625.4,60.4233333333333,7.86592282442612,4.88454779130967,22.7620394766412,0.576347320327854,0.215412547273302,3.04171601092496
3625.6,60.4266666666667,7.86691031764453,4.88442658037884,22.7599372419603,0.576329433892534,0.215406474212539,3.04124112682306
3625.8,60.43,7.86789661045166,4.88430547453552,22.7578371449514,0.57631156298891,0.21540040638081,3.0407666603269
3626,60.4333333333333,7.86888170214649,4.88418447380831,22.7557391835207,0.576293707614593,0.215394343779299,3.04029261108526
3626.2,60.4366666666667,7.86986559202893,4.88406357822575,22.7536433555767,0.576275867767205,0.21538828640919,3.03981897874729
3626.4,60.44,7.87084827939983,4.88394278781635,22.751549659031,0.576258043444383,0.215382234271662,3.03934576296251
3626.6,60.4433333333333,7.87182976356094,4.88382210260854,22.7494580917979,0.576240234643776,0.215376187367896,3.03887296338076
3626.8,60.4466666666667,7.87281004381497,4.88370152263072,22.7473686517945,0.576222441363048,0.215370145699068,3.03840057965229
3627,60.45,7.87378911946554,4.88358104791124,22.7452813369405,0.576204663599872,0.215364109266355,3.03792861142768
3627.2,60.4533333333333,7.8747669898172,4.8834606784784,22.7431961451586,0.576186901351939,0.21535807807093,3.03745705835786
3627.4,60.4566666666667,7.87574365417543,4.88334041436044,22.7411130743742,0.57616915461695,0.215352052113967,3.03698592009415
3627.6,60.46,7.87671911184664,4.88322025558555,22.7390321225153,0.576151423392617,0.215346031396634,3.03651519628818
3627.8,60.4633333333333,7.87769336213817,4.8831002021819,22.736953287513,0.57613370767667,0.215340015920103,3.03604488659199
3628,60.4666666666667,7.87866640435828,4.88298025417757,22.7348765673007,0.576116007466847,0.215334005685539,3.03557499065795
3628.2,60.47,7.87963823781619,4.88286041160063,22.732801959815,0.576098322760902,0.215328000694108,3.03510550813878
3628.4,60.4733333333333,7.88060886182201,4.88274067447907,22.7307294629949,0.5760806535566,0.215322000946976,3.03463643868756
3628.6,60.4766666666667,7.8815782756868,4.88262104284085,22.7286590747823,0.576062999851718,0.215316006445303,3.03416778195775
3628.8,60.48,7.88254647872257,4.88250151671387,22.7265907931218,0.576045361644048,0.21531001719025,3.03369953760313
3629,60.4833333333333,7.88351347024221,4.882382096126,22.7245246159609,0.576027738931392,0.215304033182977,3.03323170527785
3629.2,60.4866666666667,7.8844792495596,4.88226278110504,22.7224605412495,0.576010131711567,0.21529805442464,3.03276428463643
3629.4,60.49,7.88544381598952,4.88214357167876,22.7203985669406,0.5759925399824,0.215292080916396,3.03229727533372
3629.6,60.4933333333333,7.88640716884767,4.88202446787488,22.7183386909896,0.575974963741733,0.215286112659399,3.03183067702493
3629.8,60.4966666666667,7.88736930745072,4.88190546972105,22.7162809113548,0.575957402987419,0.2152801496548,3.03136448936564
3630,60.5,7.88833023111624,4.88178657724491,22.7142252259972,0.575939857717323,0.215274191903751,3.03089871201176
3630.2,60.5033333333333,7.88928993916275,4.88166779047403,22.7121716328804,0.575922327929323,0.2152682394074,3.03043334461957
3630.4,60.5066666666667,7.89024843090969,4.88154910943593,22.710120129971,0.57590481362131,0.215262292166896,3.0299683868457
3630.6,60.51,7.89120570567745,4.8814305341581,22.708070715238,0.575887314791185,0.215256350183383,3.02950383834712
3630.8,60.5133333333333,7.89216176278734,4.88131206466796,22.7060233866532,0.575869831436864,0.215250413458007,3.02903969878116
3631,60.5166666666667,7.89311660156161,4.88119370099291,22.7039781421912,0.575852363556273,0.215244481991911,3.02857596780551
3631.2,60.52,7.89407022132345,4.88107544316029,22.7019349798291,0.575834911147352,0.215238555786234,3.0281126450782
3631.4,60.5233333333333,7.89502262139698,4.88095729119739,22.6998938975469,0.575817474208051,0.215232634842117,3.02764973025762
3631.6,60.5266666666667,7.89597380110724,4.88083924513146,22.6978548933271,0.575800052736334,0.215226719160697,3.02718722300249
3631.8,60.53,7.89692375978023,4.88072130498971,22.6958179651552,0.575782646730176,0.215220808743111,3.02672512297191
3632,60.5333333333333,7.89787249674287,4.88060347079929,22.6937831110189,0.575765256187563,0.215214903590494,3.0262634298253
3632.2,60.5366666666667,7.89882001132303,4.88048574258732,22.691750328909,0.575747881106497,0.215209003703978,3.02580214322245
3632.4,60.54,7.89976630284949,4.88036812038087,22.6897196168188,0.575730521484986,0.215203109084696,3.0253412628235
3632.6,60.5433333333333,7.90071137065201,4.88025060420695,22.6876909727443,0.575713177321055,0.215197219733777,3.02488078828892
3632.8,60.5466666666667,7.90165521406123,4.88013319409255,22.6856643946842,0.575695848612738,0.215191335652349,3.02442071927954
3633,60.55,7.90259783240878,4.8800158900646,22.6836398806398,0.575678535358082,0.21518545684154,3.02396105545655
3633.2,60.5533333333333,7.9035392250272,4.87989869214999,22.681617428615,0.575661237555144,0.215179583302475,3.02350179648146
3633.4,60.5566666666667,7.90447939124997,4.87978160037556,22.6795970366166,0.575643955201996,0.215173715036277,3.02304294201615
3633.6,60.56,7.90541833041151,4.87966461476811,22.6775787026538,0.575626688296719,0.21516785204407,3.02258449172284
3633.8,60.5633333333333,7.90635604184719,4.8795477353544,22.6755624247386,0.575609436837407,0.215161994326973,3.02212644526409
3634,60.5666666666667,7.9072925248933,4.87943096216115,22.6735482008856,0.575592200822164,0.215156141886107,3.02166880230282
3634.2,60.57,7.90822777888708,4.87931429521501,22.6715360291121,0.575574980249107,0.215150294722588,3.02121156250228
3634.4,60.5733333333333,7.90916180316671,4.87919773454262,22.669525907438,0.575557775116365,0.215144452837532,3.02075472552608
3634.6,60.5766666666667,7.91009459707131,4.87908128017057,22.6675178338857,0.575540585422077,0.215138616232056,3.02029829103816
3634.8,60.58,7.91102615994093,4.87896493212537,22.6655118064805,0.575523411164394,0.215132784907271,3.01984225870282
3635,60.5833333333333,7.91195649111658,4.87884869043355,22.6635078232501,0.57550625234148,0.215126958864289,3.01938662818471
3635.2,60.5866666666667,7.91288558994018,4.87873255512154,22.661505882225,0.575489108951508,0.215121138104221,3.01893139914879
3635.4,60.59,7.91381345575462,4.87861652621575,22.6595059814383,0.575471980992663,0.215115322628175,3.01847657126039
3635.6,60.5933333333333,7.91474008790373,4.87850060374257,22.6575081189255,0.575454868463143,0.215109512437258,3.01802214418519
3635.8,60.5966666666667,7.91566548573225,4.87838478772831,22.655512292725,0.575437771361155,0.215103707532577,3.0175681175892
3636,60.6,7.91658964858591,4.87826907819925,22.6535185008778,0.57542068968492,0.215097907915236,3.01711449113877
3636.2,60.6033333333333,7.91751257581134,4.87815347518164,22.6515267414272,0.575403623432667,0.215092113586336,3.0166612645006
3636.4,60.6066666666667,7.91843426675614,4.87803797870169,22.6495370124195,0.575386572602639,0.215086324546981,3.01620843734173
3636.6,60.61,7.91935472076883,4.87792258878554,22.6475493119033,0.575369537193088,0.215080540798269,3.01575600932954
3636.8,60.6133333333333,7.9202739371989,4.87780730545932,22.6455636379301,0.575352517202279,0.215074762341299,3.01530398013175
3637,60.6166666666667,7.92119191539677,4.8776921287491,22.6435799885536,0.575335512628487,0.215068989177168,3.01485234941644
3637.2,60.62,7.92210865471379,4.87757705868092,22.6415983618305,0.575318523469998,0.215063221306972,3.01440111685199
3637.4,60.6233333333333,7.92302415450228,4.87746209528077,22.6396187558198,0.57530154972511,0.215057458731805,3.01395028210717
3637.6,60.6266666666667,7.92393841411549,4.87734723857462,22.6376411685833,0.575284591392131,0.215051701452759,3.01349984485104
3637.8,60.63,7.92485143290761,4.87723248858836,22.6356655981852,0.575267648469381,0.215045949470927,3.01304980475304
3638,60.6333333333333,7.9257632102338,4.87711784534787,22.6336920426924,0.57525072095519,0.215040202787398,3.01260016148294
3638.2,60.6366666666667,7.92667374545013,4.87700330887899,22.6317205001743,0.575233808847899,0.21503446140326,3.01215091471083
3638.4,60.64,7.92758303791365,4.87688887920752,22.629750968703,0.57521691214586,0.215028725319601,3.01170206410715
3638.6,60.6433333333333,7.92849108698233,4.87677455635919,22.6277834463531,0.575200030847437,0.215022994537506,3.01125360934269
3638.8,60.6466666666667,7.9293978920151,4.87666034035974,22.6258179312016,0.575183164951002,0.21501726905806,3.01080555008857
3639,60.65,7.93030345237184,4.87654623123483,22.6238544213284,0.575166314454942,0.215011548882347,3.01035788601624
3639.2,60.6533333333333,7.93120776741336,4.87643222901009,22.6218929148156,0.575149479357651,0.215005834011446,3.00991061679749
3639.4,60.6566666666667,7.93211083650144,4.87631833371113,22.6199334097482,0.575132659657535,0.21500012444644,3.00946374210446
3639.6,60.66,7.9330126589988,4.8762045453635,22.6179759042136,0.575115855353011,0.214994420188406,3.00901726160961
3639.8,60.6633333333333,7.9339132342691,4.87609086399272,22.6160203963016,0.575099066442507,0.214988721238422,3.00857117498574
3640,60.6666666666667,7.93481256167696,4.87597728962428,22.6140668841049,0.57508229292446,0.214983027597565,3.00812548190599
3640.2,60.67,7.93571064058793,4.8758638222836,22.6121153657183,0.575065534797321,0.214977339266909,3.00768018204385
